"Control ID","Requirement","Result","Criticality","Details","OriginalResult","OriginalDetails","Comments","ResolutionDate","Non-Compliance Reason","Remediation Completion Date","Justification"
"GWS.COMMONCONTROLS.5.5v1","User passwords SHALL NOT be reused.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Steven Armstrong's OU: Allow password reuse is ON
- Bruce Ford's OU: Allow password reuse is ON","Fail","The following OUs are non-compliant:
- Debra Alvarez's OU: Allow password reuse is ON
- Kenneth Hernandez Jr.'s OU: Allow password reuse is ON","[]",""," "," ",""
"GWS.COMMONCONTROLS.5.6v1","User passwords SHALL NOT expire.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Austin Rogers's OU: Password reset frequency is 30 days
- Marc Young's OU: Password reset frequency is 5184000 seconds","Fail","The following OUs are non-compliant:
- Jacqueline Norris's OU: Password reset frequency is 30 days
- Jennifer Williams's OU: Password reset frequency is 5184000 seconds","[]",""," "," ",""
"GWS.COMMONCONTROLS.6.1v1","All administrative accounts SHALL be provisioned as cloud-only accounts separate from an agency&#x27;s authoritative on-premises or other federated identity providers.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: SSO is enabled for an OU containing privileged accounts. Privileged accounts must authenticate via Google Workspace, not via an external identity provider.
- Justin Conner's OU: SSO is enabled for an OU containing privileged accounts. Privileged accounts must authenticate via Google Workspace, not via an external identity provider.","Fail","The following OUs are non-compliant:
- Cool Example Org: SSO is enabled for an OU containing privileged accounts. Privileged accounts must authenticate via Google Workspace, not via an external identity provider.
- Paul Davis's OU: SSO is enabled for an OU containing privileged accounts. Privileged accounts must authenticate via Google Workspace, not via an external identity provider.","[]",""," "," ",""
"GWS.COMMONCONTROLS.6.2v1","A minimum of **two** and a maximum of **eight** separate and distinct super admin users SHALL be configured.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span>
<span class=""indicator-badge"" style=""background-color: #005288; color: white;"" title=""Customizable via config file"">Configurable</span></div>","Fail","Shall","The following super admins are configured: user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org. <i>Note: Exceptions are allowed for ""break glass"" super admin accounts. ""Break glass"" accounts can be specified in a config file. 0 break glass accounts are currently configured.<i>","Fail","The following super admins are configured: user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org, user@example.org. <i>Note: Exceptions are allowed for ""break glass"" super admin accounts. ""Break glass"" accounts can be specified in a config file. 0 break glass accounts are currently configured.<i>","[]",""," "," ",""
"GWS.COMMONCONTROLS.8.1v1","Account self-recovery for super admins SHALL be disabled.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org (group user@example.org): Super admins are allowed to recover their accounts.
- Cool Example Org (group user@example.org): Super admins are allowed to recover their accounts.","Fail","The following OUs are non-compliant:
- Cool Example Org (group user@example.org): Super admins are allowed to recover their accounts.
- Cool Example Org (group user@example.org): Super admins are allowed to recover their accounts.","[]",""," "," ",""
"GWS.COMMONCONTROLS.8.2v1","Account self-recovery for users and non-super admins SHALL be disabled.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: Users and non-super admins are allowed to recover their accounts.","Fail","The following OUs are non-compliant:
- Cool Example Org: Users and non-super admins are allowed to recover their accounts.","[]",""," "," ",""
"GWS.COMMONCONTROLS.10.5v1","Access to GWS applications by less secure applications that do not meet security authentication standards SHALL be prevented.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: Users are allowed to manage access to less secure apps.","Fail","The following OUs are non-compliant:
- Cool Example Org: Users are allowed to manage access to less secure apps.","[]",""," "," ",""
"GWS.COMMONCONTROLS.11.1v1","Only approved Google Workspace (GWS) Marketplace applications SHALL be allowed for installation.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Audrey Jimenez's OU: Users can install and run any internal app, even if it's not allowlisted.","Fail","The following OUs are non-compliant:
- Christina Jones's OU: Users can install and run any internal app, even if it's not allowlisted.","[]",""," "," ",""
"GWS.COMMONCONTROLS.12.1v1","Google Takeout services SHALL be disabled.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Tyrone Walker's OU: The following apps with individual admin control have Takeout enabled: YouTube
- Cool Example Org: Takeout is enabled for services without an individual admin control.
- Cool Example Org: The following apps with individual admin control have Takeout enabled: Blogger, Google Books, Timeline - Location History","Fail","The following OUs are non-compliant:
- Victoria Wright's OU: The following apps with individual admin control have Takeout enabled: YouTube
- Cool Example Org: Takeout is enabled for services without an individual admin control.
- Cool Example Org: The following apps with individual admin control have Takeout enabled: Blogger, Google Books, Timeline - Location History","[]",""," "," ",""
"GWS.COMMONCONTROLS.13.1v1","Required system-defined alerting rules, as listed in the policy group description, SHALL be enabled with alerts.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","Of the 30 required rules, 29 are enabled and 1 is disabled.  See <a href=""#alerts"">System Defined Alerts</a> for more details.","Fail","Of the 30 required rules, 29 are enabled and 1 is disabled.  See <a href=""#alerts"">System Defined Alerts</a> for more details.","[]",""," "," ",""
"GWS.DRIVEDOCS.1.4v1","If sharing outside of the organization, agencies SHOULD disable sharing of files with individuals who are not using a Google account.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Vincent Anderson's OU: File sharing with allowlisted domains, with non-Google users.
- Cool Example Org: File sharing with allowlisted domains, with non-Google users.","Fail","The following OUs are non-compliant:
- David Walker's OU: File sharing with allowlisted domains, with non-Google users.
- Cool Example Org: File sharing with allowlisted domains, with non-Google users.","[]",""," "," ",""
"GWS.DRIVEDOCS.1.5v1","Any Organizational Units that allow external sharing SHOULD disable content availability to &quot;anyone with the link.&quot;<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- William Davis's OU: Published web content can be made visible to anyone with a link
- Cool Example Org: Published web content can be made visible to anyone with a link","Fail","The following OUs are non-compliant:
- Linda Lee's OU: Published web content can be made visible to anyone with a link
- Cool Example Org: Published web content can be made visible to anyone with a link","[]",""," "," ",""
"GWS.DRIVEDOCS.1.6v1","Agencies SHALL set access checking to &quot;recipients only.&quot;<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Gregory Duran's OU: Access Checker allows users to share files to recipients only, suggested target audience, or public (no Google account required)
- Cool Example Org: Access Checker allows users to share files to recipients only, suggested target audience, or public (no Google account required)","Fail","The following OUs are non-compliant:
- Hayley Evans's OU: Access Checker allows users to share files to recipients only, suggested target audience, or public (no Google account required)
- Cool Example Org: Access Checker allows users to share files to recipients only, suggested target audience, or public (no Google account required)","[]",""," "," ",""
"GWS.DRIVEDOCS.1.7v1","Users SHOULD NOT be allowed to upload or move content to shared drives owned by another organization.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Adam Clark's OU: Anyone can distribute content outside of the organization","Fail","The following OUs are non-compliant:
- Jason Keller's OU: Anyone can distribute content outside of the organization","[]",""," "," ",""
"GWS.DRIVEDOCS.1.8v1","&quot;Private to owner&quot; SHALL be the default access level for newly created items.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Lisa Nichols's OU: When users create items, the default access is set to: the primary target audience can search and find the item.","Fail","The following OUs are non-compliant:
- Crystal Cruz's OU: When users create items, the default access is set to: the primary target audience can search and find the item.","[]",""," "," ",""
"GWS.DRIVEDOCS.2.2v1","Agencies SHALL allow users who are not members of a shared Google Drive to be added to files.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Kevin Lane's OU: Users who aren't shared drive members are not allowed to be added to files.","Fail","The following OUs are non-compliant:
- Jon Hodges's OU: Users who aren't shared drive members are not allowed to be added to files.","[]",""," "," ",""
"GWS.DRIVEDOCS.3.1v1","Agencies SHALL enable the security update for Google Drive files.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: Users are allowed to remove/apply the security update for files they own or manage.","Fail","The following OUs are non-compliant:
- Cool Example Org: Users are allowed to remove/apply the security update for files they own or manage.","[]",""," "," ",""
"GWS.GMAIL.3.1v1","An SPF policy SHALL be published for each domain that fails all non-approved senders.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span>
<span class=""indicator-badge"" style=""background-color: #005288; color: white;"" title=""Customizable via config file"">Configurable</span></div>","Fail","Shall","1 of 3 agency domain(s) found in violation: example.org.","Fail","1 of 3 agency domain(s) found in violation: example.org.","[]",""," "," ",""
"GWS.GMAIL.4.1v1","A DMARC policy SHALL be published at the full domain or the second-level domain for all Google Workspace domains, including user alias domains.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span>
<span class=""indicator-badge"" style=""background-color: #005288; color: white;"" title=""Customizable via config file"">Configurable</span></div>","Fail","Shall","2 of 4 agency domain(s) found in violation: young.com, example.org. 1 domain(s) have multiple DMARC records and will fail the policy check: young.com. DMARC records should only have one record according to RFC 7489.","Fail","2 of 4 agency domain(s) found in violation: miller-gray.org, example.org. 1 domain(s) have multiple DMARC records and will fail the policy check: miller-gray.org. DMARC records should only have one record according to RFC 7489.","[]",""," "," ",""
"GWS.GMAIL.4.2v1","The DMARC message rejection option SHALL be p=reject.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span>
<span class=""indicator-badge"" style=""background-color: #005288; color: white;"" title=""Customizable via config file"">Configurable</span></div>","Fail","Shall","2 of 4 agency domain(s) found in violation: solis.com, example.org. 1 domain(s) have multiple DMARC records and will fail the policy check: solis.com. DMARC records should only have one record according to RFC 7489.","Fail","2 of 4 agency domain(s) found in violation: mason-cruz.com, example.org. 1 domain(s) have multiple DMARC records and will fail the policy check: mason-cruz.com. DMARC records should only have one record according to RFC 7489.","[]",""," "," ",""
"GWS.GMAIL.4.3v1","The DMARC point of contact for aggregate reports SHALL include `user@example.org`.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span>
<span class=""indicator-badge"" style=""background-color: #005288; color: white;"" title=""Customizable via config file"">Configurable</span></div>","Fail","Shall","3 of 4 agency domain(s) found in violation: terry.org, example.org, example.org.test-google-a.com. 1 domain(s) have multiple DMARC records and will fail the policy check: terry.org. DMARC records should only have one record according to RFC 7489.","Fail","3 of 4 agency domain(s) found in violation: morton-roberts.net, example.org, example.org.test-google-a.com. 1 domain(s) have multiple DMARC records and will fail the policy check: morton-roberts.net. DMARC records should only have one record according to RFC 7489.","[]",""," "," ",""
