Project id,Version id,Channel version id,Project name,Version,Channel version origin,Channel version origin id,Channel version origin name,Vulnerability id,Description,Published on,Updated on,Base score,Exploitability,Impact,Vulnerability source,Remediation status,Remediation target date,Remediation actual date,Remediation comment,URL,Security Risk
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2007-3382,"Apache Tomcat 6.0.0 to 6.0.13, 5.5.0 to 5.5.24, 5.0.0 to 5.0.30, 4.1.0 to 4.1.36, and 3.3 to 3.3.2 treats single quotes (""'"") as delimiters in cookies, which might cause sensitive information such as session IDs to be leaked and allow remote attackers to conduct session hijacking attacks.",8/15/07,3/25/19,4.3,8.6,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2007-3382,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2007-3385,"Apache Tomcat 6.0.0 to 6.0.13, 5.5.0 to 5.5.24, 5.0.0 to 5.0.30, 4.1.0 to 4.1.36, and 3.3 to 3.3.2 does not properly handle the \"" character sequence in a cookie value, which might cause sensitive information such as session IDs to be leaked to remote attackers and enable session hijacking attacks.",8/15/07,3/25/19,4.3,8.6,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2007-3385,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2007-3386,"Cross-site scripting (XSS) vulnerability in the Host Manager Servlet for Apache Tomcat 6.0.0 to 6.0.13 and 5.5.0 to 5.5.24 allows remote attackers to inject arbitrary HTML and web script via crafted requests, as demonstrated using the aliases parameter to an html/add action.",8/15/07,10/16/18,4.3,8.6,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2007-3386,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2007-5342,"The default catalina.policy in the JULI logging component in Apache Tomcat 5.5.9 through 5.5.25 and 6.0.0 through 6.0.15 does not restrict certain permissions for web applications, which allows attackers to modify logging configuration options and overwrite arbitrary files, as demonstrated by changing the (1) level, (2) directory, and (3) prefix attributes in the org.apache.juli.FileHandler handler.",12/27/07,3/25/19,6.4,10.0,4.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2007-5342,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2007-5333,"Apache Tomcat 6.0.0 through 6.0.14, 5.5.0 through 5.5.25, and 4.1.0 through 4.1.36 does not properly handle (1) double quote ("") characters or (2) %5C (encoded backslash) sequences in a cookie value, which might cause sensitive information such as session IDs to be leaked to remote attackers and enable session hijacking attacks.  NOTE: this issue exists because of an incomplete fix for CVE-2007-3385.",2/12/08,3/25/19,5.0,10.0,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2007-5333,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2007-6286,"Apache Tomcat 5.5.11 through 5.5.25 and 6.0.0 through 6.0.15, when the native APR connector is used, does not properly handle an empty request to the SSL port, which allows remote attackers to trigger handling of ""a duplicate copy of one of the recent requests,"" as demonstrated by using netcat to send the empty request.",2/12/08,3/25/19,4.3,8.6,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2007-6286,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2008-1947,Cross-site scripting (XSS) vulnerability in Apache Tomcat 5.5.9 through 5.5.26 and 6.0.0 through 6.0.16 allows remote attackers to inject arbitrary web script or HTML via the name parameter (aka the hostname attribute) to host-manager/html/add.,6/5/08,3/25/19,4.3,8.6,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2008-1947,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2008-1232,"Cross-site scripting (XSS) vulnerability in Apache Tomcat 4.1.0 through 4.1.37, 5.5.0 through 5.5.26, and 6.0.0 through 6.0.16 allows remote attackers to inject arbitrary web script or HTML via a crafted string that is used in the message argument to the HttpServletResponse.sendError method.",8/4/08,3/25/19,4.3,8.6,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2008-1232,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2008-2370,"Apache Tomcat 4.1.0 through 4.1.37, 5.5.0 through 5.5.26, and 6.0.0 through 6.0.16, when a RequestDispatcher is used, performs path normalization before removing the query string from the URI, which allows remote attackers to conduct directory traversal attacks and read arbitrary files via a .. (dot dot) in a request parameter.",8/4/08,3/25/19,5.0,10.0,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2008-2370,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2008-2938,"Directory traversal vulnerability in Apache Tomcat 4.1.0 through 4.1.37, 5.5.0 through 5.5.26, and 6.0.0 through 6.0.16, when allowLinking and UTF-8 are enabled, allows remote attackers to read arbitrary files via encoded directory traversal sequences in the URI, a different vulnerability than CVE-2008-2370.  NOTE: versions earlier than 6.0.18 were reported affected, but the vendor advisory lists 6.0.16 as the last affected version.",8/13/08,3/25/19,4.3,8.6,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2008-2938,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,47464,,8/17/08,3/26/19,4.3,8.6,2.9,VULNDB,DUPLICATE,,,,,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2009-0781,"Cross-site scripting (XSS) vulnerability in jsp/cal/cal2.jsp in the calendar application in the examples web application in Apache Tomcat 4.1.0 through 4.1.39, 5.5.0 through 5.5.27, and 6.0.0 through 6.0.18 allows remote attackers to inject arbitrary web script or HTML via the time parameter, related to ""invalid HTML.""",3/10/09,3/25/19,4.3,8.6,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2009-0781,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2008-5519,"The JK Connector (aka mod_jk) 1.2.0 through 1.2.26 in Apache Tomcat allows remote attackers to obtain sensitive information via an arbitrary request from an HTTP client, in opportunistic circumstances involving (1) a request from a different client that included a Content-Length header but no POST data or (2) a rapid series of requests, related to noncompliance with the AJP protocol's requirements for requests containing Content-Length headers.",4/9/09,4/15/19,2.6,4.9,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2008-5519,LOW
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2009-0033,"Apache Tomcat 4.1.0 through 4.1.39, 5.5.0 through 5.5.27, and 6.0.0 through 6.0.18, when the Java AJP connector and mod_jk load balancing are used, allows remote attackers to cause a denial of service (application outage) via a crafted request with invalid headers, related to temporary blocking of connectors that have encountered errors, as demonstrated by an error involving a malformed HTTP Host header.",6/8/09,3/25/19,5.0,10.0,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2009-0033,MEDIUM
